var,est_08,sig_08,est_12,sig_12,est_16,sig_16
FFB_1.s,-0.033886552,9.84E-10,-0.004259074,0.73283312,NA,NA
FFB_2.s,-0.046236217,3.29E-16,0.004424301,0.725600776,NA,NA
FFB_3.s,-0.01956829,0.000203212,-0.016092545,0.185110784,NA,NA
FFB_4.s,-0.046602848,2.13E-16,0.007238783,0.570197231,NA,NA
FFBa.s,0.046602848,2.13E-16,-0.007238783,0.570197231,NA,NA
ffb.ind.s,-0.036381465,7.28E-14,-0.003307117,0.759404402,NA,NA
DETH1_A.s,0.0013457,0.677996556,0.019935624,0.020644527,NA,NA
DETH1_B.s,0.001414771,0.666484217,0.016013968,0.061570952,NA,NA
DETH1_C.s,0.0009768,0.775160325,0.019831208,0.021087009,NA,NA
DETH2_A.s,-0.002998797,0.387026945,0.01181639,0.179256107,NA,NA
DETH2_B.s,-1.34E-05,0.996839935,0.015753775,0.061140601,NA,NA
DETH2_C.s,0.004431217,0.219319738,0.014626041,0.102405914,NA,NA
PD.ind.s,0.006506976,0.029085613,0.002988981,0.721073147,NA,NA
PRR1.s,0.025074624,6.57E-10,0.008916136,0.387851067,NA,NA
POS1.s,-0.002903699,0.433712034,NA,NA,NA,NA
POS2.s,-0.028281031,8.40E-12,NA,NA,NA,NA
POS3.s,-0.019238902,0.00031815,NA,NA,NA,NA
POS4.s,-0.010112128,0.00069232,NA,NA,NA,NA
POS7.s,NA,NA,0.021482005,0.018028521,NA,NA
DETH3_A.s,NA,NA,0.019564029,0.016103444,NA,NA
DETH3_B.s,NA,NA,0.008309235,0.284361643,NA,NA
DETH3_C.s,NA,NA,0.006784994,0.412318387,NA,NA
DETH3_D.s,NA,NA,-0.002187016,0.817349226,NA,NA
CP3.s,NA,NA,0.159782643,1.76E-41,NA,NA
EP1.s,NA,NA,0.161992063,1.25E-25,NA,NA
EP3.s,NA,NA,0.138137029,6.48E-25,NA,NA
EP4.s,NA,NA,0.138873192,2.87E-38,NA,NA
SOC1.s,NA,NA,-0.009184904,0.473107318,NA,NA
PER1.s,NA,NA,-0.029657982,0.002375268,NA,NA
NEWOUT3.s,NA,NA,0.008831463,0.460666139,NA,NA
RE15.s,NA,NA,-0.025156184,0.026357988,NA,NA
RE17.s,NA,NA,0.002198929,0.851189411,NA,NA
RE19.s,NA,NA,-0.013120483,0.272130657,NA,NA
RE22.s,NA,NA,0.011771481,0.325903662,NA,NA
re24.ind.s,NA,NA,0.04114129,1.63E-12,NA,NA
re25.ind.s,NA,NA,0.056693063,1.05E-23,NA,NA
ecoperc,NA,NA,NA,NA,1.996200394,1.62E-88
perecoperc,NA,NA,NA,NA,0.813253073,5.15E-25
ST1r,NA,NA,NA,NA,0.062558834,0.050286888
st2r,NA,NA,NA,NA,0.014532161,0.665198877
st3r,NA,NA,NA,NA,0.053566233,0.143340645
mkt1r,NA,NA,NA,NA,-0.045153392,0.398688063
mkt2r,NA,NA,NA,NA,-0.008410429,0.890141732
mkt3r,NA,NA,NA,NA,-0.102617823,0.089443742
im1r,NA,NA,NA,NA,-0.042513273,0.547606057
im3r,NA,NA,NA,NA,-0.193749,0.008121153
hc1r,NA,NA,NA,NA,0.261713571,0.000686604
tr1r,NA,NA,NA,NA,0.606562423,4.87E-16
tr2r,NA,NA,NA,NA,0.515880116,1.31E-08
pt1r,NA,NA,NA,NA,-0.300017511,6.23E-07
pt2r,NA,NA,NA,NA,-0.296813559,1.37E-08
pt3r,NA,NA,NA,NA,-0.16203256,0.014157098
pt4r,NA,NA,NA,NA,-0.547817328,1.80E-18
pt5r,NA,NA,NA,NA,-0.014734209,0.761951409
pp1r,NA,NA,NA,NA,-0.132941668,0.010212182
pp2r,NA,NA,NA,NA,-0.013026158,0.813836206
pp3r,NA,NA,NA,NA,-0.12427673,0.012674438
pp4r,NA,NA,NA,NA,0.087517608,0.098627896
sl1r,NA,NA,NA,NA,0.533207547,9.83E-14
sl2r,NA,NA,NA,NA,0.642731707,5.19E-17
sl3r,NA,NA,NA,NA,0.437987421,6.06E-08
sl4r,NA,NA,NA,NA,1.157488722,1.23E-43
iso1r,NA,NA,NA,NA,-0.048037705,0.551660749
iso2r,NA,NA,NA,NA,0.097598324,0.227013581
iso3r,NA,NA,NA,NA,0.04908398,0.501745723
iso4r,NA,NA,NA,NA,0.100378788,0.208820867
iso5r,NA,NA,NA,NA,0.064591097,0.416412753
sd1r,NA,NA,NA,NA,-0.066750974,0.687221204
sd2r,NA,NA,NA,NA,0.079658855,0.699098658
sd3r,NA,NA,NA,NA,-0.164905852,0.338197813
sd4r,NA,NA,NA,NA,-0.270176661,0.081759839
dis1r,NA,NA,NA,NA,-0.042583074,0.491017547
dis2r,NA,NA,NA,NA,0.004652709,0.942135583
dis3r,NA,NA,NA,NA,-0.16434265,0.01629185
dis4r,NA,NA,NA,NA,0.020572739,0.750675227
dis5r,NA,NA,NA,NA,-0.052411761,0.420297525
dis6r,NA,NA,NA,NA,-0.058242269,0.387525908
dis7r,NA,NA,NA,NA,-0.044449323,0.508582014
chinatri,NA,NA,NA,NA,0.073937172,0.099346865
ns1r,NA,NA,NA,NA,0.204880503,0.006554052
ns2r,NA,NA,NA,NA,0.221725047,0.000371114
ns3r,NA,NA,NA,NA,0.139797632,0.056652783
gt1r,NA,NA,NA,NA,0.148298876,4.10E-22
gt2r,NA,NA,NA,NA,0.145184625,7.12E-08
gt3r,NA,NA,NA,NA,0.058894158,0.001404749
gt4r,NA,NA,NA,NA,0.096784461,3.24E-12
sc1r,NA,NA,NA,NA,0.557828395,8.88E-20
ss1,NA,NA,NA,NA,0.052542839,0.255205842
ss2,NA,NA,NA,NA,0.022292135,0.724036041
ss3,NA,NA,NA,NA,0.020599251,0.661136153
polarindex,NA,NA,NA,NA,-0.04547191,0.13806136
isoindex,NA,NA,NA,NA,0.04842014,0.289953769
socialtrust,NA,NA,NA,NA,0.043159149,0.067585393
immigindex,NA,NA,NA,NA,-0.174067655,0.000273758
syslegindex,NA,NA,NA,NA,0.694207567,1.19E-44
natsupindex,NA,NA,NA,NA,0.19107188,0.000129161
govttrust,NA,NA,NA,NA,0.112534284,1.12E-21
sdoindex,NA,NA,NA,NA,-0.113776112,0.296956616